recipe_id,num_ingredients,rating
852,10,4
1466,14,4
1467,10,4
1468,12,4
1469,6,4
1470,7,5
1473,7,4
1475,6,4
1746,6,4
1801,6,4
3783,8,5
4406,13,5
4599,6,5
5294,7,4
5612,11,4
5613,10,5
6970,6,4
8665,8,5
9558,12,5
11206,13,4
11376,4,5
11404,15,4
12141,4,5
12142,15,5
12144,8,4
12145,17,5
12146,9,5
12148,11,5
12151,8,4
12152,6,5
12153,11,3
12154,10,4
12155,10,4
12156,8,4
12157,7,4
12158,19,5
12159,19,5
12160,2,3
12166,7,4
12168,9,5
12169,18,5
12170,13,4
12173,17,4
12176,9,4
12177,14,5
12178,12,4
12179,12,4
12180,9,5
12181,10,4
12182,9,4
12183,16,4
12184,17,4
12185,10,4
12186,12,4
12187,11,4
12188,9,5
12189,11,4
12190,13,4
12191,11,5
12192,11,4
12193,17,4
12194,7,4
12195,11,5
12196,12,5
12197,18,5
12198,12,4
12201,5,4
12202,10,5
12203,3,4
12204,3,4
12205,3,4
12206,10,4
12207,6,4
12208,10,5
12209,9,4
12210,11,4
12211,7,5
12212,8,4
12213,7,4
12214,9,5
12216,6,4
12217,6,4
12218,12,4
12219,6,4
12220,9,4
12221,11,5
12222,21,4
12223,7,4
12224,19,3
12225,20,5
12226,7,5
12227,11,5
12228,8,4
12229,5,4
12230,9,4
12231,5,4
12232,7,5
12233,6,4
12234,8,5
12235,7,4
12236,7,4
12237,7,4
12238,4,4
12239,5,4
12240,8,4
12241,19,4
12242,10,4
12243,16,4
12244,7,4
12245,12,5
12246,4,4
12247,9,4
12248,7,5
12249,15, 
12250,6,5
12251,14,4
12252,7,4
12253,13,4
12254,14,5
12255,15,5
12256,16,4
12257,14,4
12258,11,5
12259,11,4
12260,15,4
12262,12,5
12264,10,5
12265,13,3
12266,7,5
12267,8,5
12268,6,4
12269,17,5
12270,4,4
12271,9,4
12272,13,5
12273,11,4
12274,14,5
12275,13,5
12276,12,4
12277,15,5
12278,17,5
12279,10,5
12280,12,5
12282,3,4
12283,6,4
12285,15,4
12286,10,5
12287,10,4
12288,10,4
12290,16,4
12291,14,4
12292,15,4
12293,17,4
12294,20,4
12296,11,5
12297,7,4
12298,6,4
12299,10,5
12300,15,5
12301,12,5
12302,11,4
12303,11,4
12304,13,4
12305,7,5
12306,10,4
12307,10,4
12308,13,5
12309,10,4
12311,13,4
12312,9,5
12313,9,4
12314,22,5
12315,5,4
12316,16,5
12317,9,5
12318,9,4
12319,7,4
12320,11,5
12321,13,4
12322,11,4
12323,11,4
12324,11,5
12325,19,4
12326,4,4
12327,15,5
12328,15,4
12329,19,4
12331,3,5
12332,2,4
12333,4,4
12334,13,4
12335,11,4
12336,17,4
12337,7,4
12338,11,4
12339,10,4
12340,16,5
12341,11,5
12342,11,4
12343,13,5
12344,14,4
12345,13,4
12346,8,4
12348,9,5
12349,10,4
12350,5,4
12351,10,4
12352,6,4
